ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300003.SZ,20120104,6.4456,6.4456,6.1431,6.1431,6.3618,-0.21870000000000012,-3.4377,10237.16,13819.9068
300003.SZ,20120105,6.0779,6.1477,5.8917,5.9104,6.1431,-0.23269999999999946,-3.788,10482.72,13527.47
300003.SZ,20120106,5.9895,6.171,5.8545,6.1291,5.9104,0.21870000000000012,3.7003,10392.27,13467.8096
300003.SZ,20120109,6.1663,6.3664,6.0546,6.3525,6.1291,0.22339999999999982,3.6449,12970.24,17515.1393
300003.SZ,20120110,6.3292,6.655,6.2827,6.6457,6.3525,0.2931999999999997,4.6155,23175.58,32354.7085
300003.SZ,20120111,6.5991,6.7387,6.5061,6.5712,6.6457,-0.07449999999999957,-1.121,16449.62,23332.1623
300003.SZ,20120112,6.52,6.6317,6.4781,6.5107,6.5712,-0.06050000000000022,-0.9207,13277.76,18741.5918
300003.SZ,20120113,6.5107,6.5107,6.1384,6.1431,6.5107,-0.36760000000000037,-5.6461,22962.76,31019.9089
300003.SZ,20120116,6.1337,6.157,5.9662,5.9802,6.1431,-0.1628999999999996,-2.6518,10654.89,13867.7513
300003.SZ,20120117,5.9802,6.4037,5.9243,6.3664,5.9802,0.38619999999999965,6.458,13817.68,18487.7384
300003.SZ,20120118,6.3851,6.4921,6.05,6.1198,6.3664,-0.24659999999999993,-3.8735,13155.93,17742.9563
300003.SZ,20120119,6.1012,6.6969,6.0965,6.3385,6.1198,0.21870000000000012,3.5736,40426.9,55585.7735
300003.SZ,20120120,6.4456,6.4502,6.2501,6.4083,6.3385,0.06979999999999986,1.1012,28173.11,38376.2553
300003.SZ,20120130,6.4642,6.6177,6.3757,6.5154,6.4083,0.10709999999999997,1.6713,28843.46,40341.5162
300003.SZ,20120131,6.4735,6.5386,6.3246,6.4362,6.5154,-0.07919999999999927,-1.2156,15972.95,22061.411
300003.SZ,20120201,6.4781,6.6224,6.3757,6.3757,6.4362,-0.06050000000000022,-0.94,20374.6,28534.7479
300003.SZ,20120202,6.3757,6.5526,6.3757,6.5293,6.3757,0.15359999999999996,2.4091,14605.06,20358.872
300003.SZ,20120203,6.5619,6.6643,6.5386,6.6224,6.5293,0.09309999999999974,1.4259,20631.12,29306.5557
300003.SZ,20120206,6.6224,6.6969,6.5247,6.655,6.6224,0.032600000000000406,0.4923,23121.1,32864.4888
